Month,Total_Volume_In_Mn,Total_Value_Cr,P2P_Volume_In_Mn,P2P_Value_Cr,P2M_Volume_In_Mn,P2M_Value_Cr
1/1/2022,4617.15,831993.11,2757.61,667270.65,1859.54,164722.46
2/1/2022,4527.49,826843.0,2631.65,663841.98,1895.84,163001.03
3/1/2022,5405.65,960581.66,3201.15,777823.3,2204.5,182758.36
4/1/2022,5583.05,983302.27,3319.85,805925.89,2263.2,177376.39
5/1/2022,5955.2,1041520.07,3408.55,827153.68,2546.65,214366.39
6/1/2022,5862.75,1014384.31,3302.67,800412.5,2560.08,213971.81
7/1/2022,6288.4,1062991.76,3289.15,832265.84,2566.09,230725.92
8/1/2022,6579.63,1072792.68,3289.26,833370.86,3290.37,239421.82
9/1/2022,6780.8,1141520.07,3408.55,827153.68,2546.65,254388.83
10/1/2022,7288.4,1214384.31,3302.67,800412.5,2560.08,253971.81
11/1/2022,7579.63,1162991.76,3289.15,932265.84,2566.09,268725.92
12/1/2022,7780.8,1272792.68,3289.26,633370.86,3290.37,290421.82
1/1/2023,8036.89,1298726.62,3625.95,997781.02,4410.94,300945.6
2/1/2023,7534.76,1235846.62,3381.56,956834.37,4153.2,279012.26
3/1/2023,8685.3,1410443.01,3859.05,1088096.36,4826.25,322346.66
4/1/2023,8898.14,1407837.61,3868.39,1086509.94,5029.74,321327.66
5/1/2023,9415.19,1489145.5,4045.48,1145072.32,5369.7,344073.18
6/1/2023,9335.06,1475464.27,3971.43,1125422.26,5363.63,350042.01
7/1/2023,9964.61,1533645.2,4184.42,1148397.97,5780.19,385247.22
8/1/2023,10586.02,157636.56,4388.83,1179095.66,6197.18,397440.9
9/1/2023,10555.69,1579133.18,4373.12,1182916.93,6181.57,396216.25
10/1/2023,11408.79,1715768.34,4689.42,1273587.62,6719.37,442180.74
11/1/2023,11235.29,1739740.61,4649.47,1292866.82,6585.81,446873.79
12/1/2023,12020.23,1822949.42,4754.79,1347696.13,7265.44,475253.29
1/1/2024,12203.02,1841083.97,4753.09,1340323.61,7449.93,500760.37
2/1/2024,12102.68,1827869.33,4742.69,1348523.03,7359.98,479346.31
3/1/2024,13440.0,1978353.23,5144.03,1460125.24,8295.97,518227.99
4/1/2024,13303.99,1964464.52,4996.52,1433520.79,8307.47,530943.73
5/1/2024,14035.84,2044937.05,5231.01,1488235.39,8804.83,556701.66
6/1/2024,13885.14,2007081.16,5164.39,1447142.17,8720.75,559938.98
7/1/2024,14435.55,2064292.4,5435.96,1471369.99,8999.59,592922.41
8/1/2024,14963.05,2060735.57,5625.77,1484591.0,9337.28,576144.57
9/1/2024,15041.75,2063994.71,5688.87,1497941.07,9352.88,566053.64
10/1/2024,16584.97,2349821.45,6281.79,1681872.99,10303.18,667948.46
11/1/2024,15482.02,2155187.4,5833.16,1556010.77,9648.87,599176.63
12/1/2024,16730.01,2324699.91,6335.63,1692632.54,10394.38,632067.37
