S.no,Application_Name,Customer_Initiated_Transactions_Volume_Mn,Customer_Initiated_Transactions_Value_Cr,B2C_Transactions_Volume_Mn,B2C_Transactions_Value_Cr,B2B_Transactions_Volume_Mn,B2B_Transactions_Value_Cr,Total_Volume_Mn,Total_Value_Cr,Year,Month
1,Airtel Payments Bank Apps,8.53,2047.45,0.0,0.0,0.0,0.0,13.22,4729.77,2022,jan
2,Allahabad Bank App,0.02,7.36,0.0,0.0,0.0,0.0,0.02,7.36,2022,jan
3,Amazon Pay,73.5,6729.66,0.0,0.0,0.0,0.0,73.5,6729.66,2022,jan
4,AU Small Finance Bank App,0.23,81.15,0.0,0.0,0.0,0.0,0.23,81.15,2022,jan
5,Axis Bank Apps,6.78,1058.77,40.47,34.25,0.0,0.0,47.25,1093.02,2022,jan
6,Bajaj Finserv,0.24,12.88,0.0,0.0,0.0,0.0,0.24,12.88,2022,jan
7,Bank of Baroda Apps,0.71,342.85,0.0,0.0,0.0,0.0,0.71,342.85,2022,jan
8,Bank of India App,0.05,20.23,0.0,0.0,0.0,0.0,0.05,20.23,2022,jan
9,Bank of Maharashtra App,0.05,12.46,0.0,0.0,0.0,0.0,0.05,12.46,2022,jan
10,BHIM,25.82,8511.91,0.0,0.0,0.0,0.0,25.82,8511.91,2022,jan
11,Canara Bank App,0.26,98.95,0.0,0.0,0.0,0.0,0.26,98.95,2022,jan
12,Central Bank of India App,0.13,47.33,0.0,0.0,0.0,0.0,0.13,47.33,2022,jan
13,Citi Bank App,0.09,77.8,0.0,0.0,0.0,0.0,0.09,77.8,2022,jan
14,City Union Bank App,0.02,4.92,0.0,0.0,0.0,0.0,0.02,4.92,2022,jan
15,Cointab,1.21,179.22,0.0,0.0,0.0,0.0,1.21,179.22,2022,jan
16,Cred,10.68,14189.86,0.0,0.0,0.0,0.0,10.68,14189.86,2022,jan
17,DBS Digibank App,0.51,186.79,0.0,0.0,0.0,0.0,0.51,186.79,2022,jan
18,Dena Bank App,0.02,26.5,0.0,0.0,0.0,0.0,0.02,26.5,2022,jan
19,Deutsche Bank App,0.92,61.95,0.0,0.0,0.0,0.13,0.92,62.08,2022,jan
